DoctorID,Name,Contact,Email,DepartmentID,Department
E0001,Grace Chen,78901234, grace.chen@abchospital.com,D0005,Pediatrics
E0002,Henry Adams,75678901, henry.adams@abchospital.com,D0002,Intensive Care Unit
E0003,Maya Patel,44567890, maya.patel@abchospital.com,D0008,Surgery
E0004,Sean Underwood,84345678, sean.underwood@abchospital.com,D0001,Emergency
E0005,Amy Bryant,72123456, amy.bryant@abchospital.com,D0009,Neurology
E0006,Xena Zane,49890123, xena.zane@abchospital.com,D0004,Cardiology
E0007,Jack Turner,11234567, jack.turner@abchospital.com,D0004,Cardiology
E0008,Derek Hall,31234567, derek.hall@abchospital.com,D0007,Obstetrics and Gynecology
E0009,Isla White,86789012, isla.white@abchospital.com,D0010,Oncology
E0010,Noah Brooks,55678901, noah.brooks@abchospital.com,D0006,Orthopedics
E0011,Kelly Watson,10901234, kelly.watson@abchospital.com,D0001,Emergency
E0012 ,Ryan Scott,69890123, ryan.scott@abchospital.com,D0009,Neurology
E0013 ,Paula White,65456789, paula.white@abchospital.com,D0003,Radiology
E0014 ,Yusuf Khan,64345678, yusuf.khan@abchospital.com,D0006,Orthopedics
E0015,Tina Bell,19890123, tina.bell@abchospital.com,D0004,Cardiology
E0016,Omar Karim,54345678, omar.karim@abchospital.com,D0009,Neurology
E0017,Chloe King,20123456, chloe.king@abchospital.com,D0009,Neurology
E0018,Mason Ortiz,28789012, mason.ortiz@abchospital.com,D0007,Obstetrics and Gynecology
E0019,Olivia Green,66789012, olivia.green@abchospital.com,D0005,Pediatrics
E0020,Faisal Malik,67890123, faisal.malik@abchospital.com,D0010,Oncology
E0021,Betty Brooks,97678901, betty.brooks@abchospital.com,D0009,Neurology
E0022,Liam O'Connor,33456789, liam.oconnor@abchospital.com,D0005,Pediatrics
E0023,Dana Fisher,29890123, dana.fisher@abchospital.com,D0007,Obstetrics and Gynecology
E0024,Jason Kelly,71012345, jason.kelly@abchospital.com,D0002,Intensive Care Unit
E0025,Ella Brown,42345678, ella.brown@abchospital.com,D0003,Radiology
E0026,Tara Morgan,21234567, tara.morgan@abchospital.com,D0008,Surgery
E0027,Victor Wells,13234567, victor.wells@abchospital.com,D0004,Cardiology
E0028,Ximena Ruiz,53234567, ximena.ruiz@abchospital.com,D0001,Emergency
E0029,George Ingram,52123456, george.ingram@abchospital.com,D0010,Oncology
E0030,Nora Parker,39890123, nora.parker@abchospital.com,D0006,Orthopedics
E0031,Quincy Jones,76567890, quincy.jones@abchospital.com,D0006,Orthopedics
E0032,Dylan Edwards,15456789, dylan.edwards@abchospital.com,D0004,Cardiology
E0033,Alan Baker,86567890, alan.baker@abchospital.com,D0001,Emergency
E0034,Rita Singh,87678901, rita.singh@abchospital.com,D0007,Obstetrics and Gynecology
E0035,Peter Zhao,77890123, peter.zhao@abchospital.com,D0003,Radiology
E0036,Wanda Xu,24345678, wanda.xu@abchospital.com,D0009,Neurology
E0037,Ben Carlson,83234567, ben.carlson@abchospital.com,D0007,Obstetrics and Gynecology
E0038,Megan Norris,14345678, megan.norris@abchospital.com,D0004,Cardiology
E0039,Hassan Ali,89012345, hassan.ali@abchospital.com,D0005,Pediatrics
E0040,Jill Larson,85456789, jill.larson@abchospital.com,D0010,Oncology
E0041,William Scott,54567890, william.scott@abchospital.com,D0001,Emergency
E0042,Quinn Foster,88901234, quinn.foster@abchospital.com,D0002,Intensive Care Unit
E0043,Lila Nelson,17678901, lila.nelson@abchospital.com,D0008,Surgery
E0044,Holly James,63234567, holly.james@abchospital.com,D0004,Cardiology
E0045,Usha Verma,92123456, usha.verma@abchospital.com,D0009,Neurology
E0046,Zara Ahmed,75456789, zara.ahmed@abchospital.com,D0005,Pediatrics
E0047,Mark Evans,32123456, mark.evans@abchospital.com,D0003,Radiology
E0048,Tara Vaughn,95456789, tara.vaughn@abchospital.com,D0007,Obstetrics and Gynecology
E0049,Owen Quinn,40901234, owen.quinn@abchospital.com,D0010,Oncology
E0050,Lana Perez,21012345, lana.perez@abchospital.com,D0006,Orthopedics
E0051,Xander Fox,65678901, xander.fox@abchospital.com,D0007,Obstetrics and Gynecology
E0052,Yara Hassan,76789012, yara.hassan@abchospital.com,D0009,Neurology
E0053,Fiona Hall,41012345, fiona.hall@abchospital.com,D0001,Emergency
E0054,Cheryl Fields,23456789, cheryl.fields@abchospital.com,D0007,Obstetrics and Gynecology
E0055,Victor Stone,87654321, victor.stone@abchospital.com,D0002,Intensive Care Unit
E0056,Natalie Sims,90817263, natalie.sims@abchospital.com,D0002,Intensive Care Unit
E0057,James Reid,81926374, james.reid@abchospital.com,D0004,Cardiology
E0058,Samantha Lowe,72638491, samantha.lowe@abchospital.com,D0005,Pediatrics
E0059,Michael Dunn,91827364, michael.dunn@abchospital.com,D0010,Oncology
E0060,Olivia Grant,83726145, olivia.grant@abchospital.com,D0006,Orthopedics
